"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"69638","1942-02-14",NA,"Male",30,"26+","ne",0
"69639","1949-06-16",NA,"Male",23,"ostatni","ano",0
"69640","1917-01-09",1999,"Male",31,"26+","ne",1
"69641","1956-09-09",NA,"Male",28,"26+","ne",0
"69642","1895-08-12",1971,"Male",25,"ostatni","ne",1
"69643","1954-03-15",NA,"Male",22,"ostatni","ne",0
"69644","1967-08-04",NA,"Male",21,"do_22","ano",0
"69645","1963-11-05",NA,"Male",21,"do_22","ne",0
"69646","1966-12-25",NA,"Male",22,"ostatni","ne",0
"69647","1930-11-17",2006,"Male",18,"do_22","ano",1
"69648","1945-03-05",NA,"Male",19,"do_22","ano",0
"69649","1930-05-01",2011,"Male",22,"ostatni","ano",1
"69650","1947-12-16",NA,"Male",21,"do_22","ano",0
"69651","1929-10-06",2012,"Male",23,"ostatni","ne",1
"69652","1902-06-09",1985,"Male",26,"ostatni","ne",1
"69653","1936-11-11",2012,"Male",24,"ostatni","ano",1
"69654","1887-03-17",1979,"Male",21,"do_22","ne",1
"69655","1969-12-30",NA,"Male",27,"26+","ano",0
"69656","1941-02-03",2005,"Male",27,"26+","ne",1
"69657","1899-07-07",1962,"Male",29,"26+","ne",1
"69658","1929-03-22",1985,"Male",35,"26+","ne",1
"69659","1931-06-21",2009,"Male",33,"26+","ne",1
"69660","1876-09-10",1935,"Male",24,"ostatni","ne",1
"69661","1892-08-24",1959,"Male",20,"do_22","ne",1
"69662","1911-06-02",2002,"Male",21,"do_22","ano",1
"69663","1958-11-15",NA,"Male",26,"ostatni","ano",0
"69664","1874-03-30",1962,"Male",26,"ostatni","ano",1
"69665","1892-10-23",1970,"Male",20,"do_22","ne",1
"69666","1878-07-26",1954,"Male",34,"26+","ano",1
"69667","1881-06-02",1969,"Male",39,"26+","ne",1
"69668","1875-12-20",1941,"Male",33,"26+","ano",1
"69669","1929-12-07",2012,"Male",19,"do_22","ne",1
"69670","1964-02-09",NA,"Male",20,"do_22","ano",0
"69671","1927-06-26",2013,"Male",29,"26+","ne",1
"69672","1883-01-15",1974,"Male",21,"do_22","ne",1
"69673","1878-01-10",1955,"Male",22,"ostatni","ano",1
"69674","1972-05-26",NA,"Male",24,"ostatni","ne",0
"69675","1910-01-03",1991,"Male",26,"ostatni","ne",1
"69676","1928-03-05",2007,"Male",20,"do_22","ano",1
"69677","1972-02-19",NA,"Male",24,"ostatni","ne",0
"69678","1964-12-02",NA,"Male",24,"ostatni","ne",0
"69679","1955-07-09",NA,"Male",29,"26+","ne",0
"69680","1913-06-29",1992,"Male",23,"ostatni","ano",1
"69681","1878-01-31",1938,"Male",22,"ostatni","ne",1
"69682","1893-12-27",1962,"Male",27,"26+","ne",1
"69683","1880-03-14",1948,"Male",24,"ostatni","ne",1
"69684","1888-03-26",1975,"Male",24,"ostatni","ne",1
"69685","1952-12-04",NA,"Male",24,"ostatni","ne",0
"69686","1888-10-30",1957,"Male",20,"do_22","ne",1
"69687","1899-05-03",1972,"Male",21,"do_22","ne",1
"69688","1891-11-14",1957,"Male",21,"do_22","ano",1
"69689","1884-10-26",1956,"Male",24,"ostatni","ne",1
"69690","1910-10-16",1993,"Male",22,"ostatni","ne",1
"69691","1910-05-29",1978,"Male",22,"ostatni","ano",1
"69692","1888-07-18",1939,"Male",24,"ostatni","ano",1
"69693","1893-12-16",1964,"Male",35,"26+","ne",1
"69694","1969-10-19",NA,"Male",27,"26+","ne",0
"69695","1950-05-18",1997,"Male",22,"ostatni","ano",1
"69696","1930-02-22",2016,"Male",22,"ostatni","ano",1
"69697","1912-11-01",2008,"Male",20,"do_22","ano",1
"69698","1972-07-09",NA,"Male",24,"ostatni","ano",0
"69699","1938-06-30",NA,"Male",26,"ostatni","ano",0
"69700","1924-10-18",2017,"Male",36,"26+","ne",1
"69701","1882-12-10",1958,"Male",18,"do_22","ne",1
"69702","1966-02-20",NA,"Male",22,"ostatni","ano",0
"69703","1884-02-26",1945,"Male",24,"ostatni","ne",1
"69704","1882-08-04",1941,"Male",18,"do_22","ano",1
